brand,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
**Pro-Labour Consulting:**,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
**PwC South Africa (Tax & Legal Services)**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**SA Immigration (South African Immigration)**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**SA Visa Services:**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**SNAX Consulting (Pty) Ltd**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Sanlam Wealth**,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
**Smit & Van Wyk Inc.**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**Standard Bank Fiduciary Services**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**Tax Shield**:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**Travel Visa 24:**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1Life,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1st For Women,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1st Move International,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1st Tax,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A S Attorneys:,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Y & E Immigration Solutions,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A&J Immigration,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A-Z Tax Consultants,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A. R. Z. Tax Consultants,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A.J. van der Watt Inc.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A.V. Immigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A1 Immigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A2A,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A4E Tax Specialists,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AF Legal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AFIS Immigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AFRI Consultants,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AHI,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AIMS Immigration,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AJM Tax Consultants,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ATA Tax,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATA Tax Specialists:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATEC,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aardvark Accounting,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Absa Bank South Africa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Afrizan Personnel,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AllPay SA:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Allan Gray Proprietary Limited:,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AltCoinTrader Tax Services,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AltCrypto Tax,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AltCryptoTax,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AltVest Capital,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altax,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anderson Tax & Consulting,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Applicator Systems SA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Applications,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AssessmentWorx,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aucor Tax Specialists,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AuditLink,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Auditware,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Auras Immigration,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Avasa Consulting:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Avenant & Co,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Awex,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Axiom McMahon Tax Consultant,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BBD,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BCG (Boston Consulting Group),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BCR Associates,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BDO Business Restructuring,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BDO South Africa (Business Restructuring):,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BIOSS SA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BLS International Services Ltd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bain & Company South Africa,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Baker McKenzie,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Baker Tilly,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bannister Trust:,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Barnard Inc,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bizcraft,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Black Pen Global:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Swan Global:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BlackPen Immigration,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blockhead Technologies,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bonitas Medical Fund,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bowmans Law:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BrainGain,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridge Immigration,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BrightRock,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Britehouse,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Business Doctors South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Rescue Exchange,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Rescue South Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-Tax,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C3S,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CDE Immigration,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CIBT visas,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CIPC,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CS Immigration Consultants,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CSG (Compliance Solutions Group),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSG Immigration,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cape Immigration,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cape Town Psychology:,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cape Town Visa Services,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Capital Migration,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chetan Immigration Services,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chetans Immigration Services,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Clicks Pharmacy,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CoinEd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Communicate Recruitment,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Company Registration SA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Compliance Institute South Africa,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Comprehensive Tax Solutions,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Corporate Accounts Management (CAM),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corporate Business Rescue,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Corporate Relocations Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corporate Services South Africa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Craig Smith & Associates Attorneys,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Craig Smith & Associates:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Smith Immigration,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Crossfin Consulting,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crypto Academy,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crypto Accounting Solutions,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Crypto Tax Consulting,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crypto Tax SA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Crypto Tax Solutions,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CryptoTax SA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cryptocurrency Tax,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Currencies Direct,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Currencies Direct South Africa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Custom Applications,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DDP Tax Specialists,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DM Tax,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DOH Applications,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DOH Solutions,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
David E. Smith Immigration Consulting,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
De Reuck Immigration,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Debt Sage,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Deloitte,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deloitte Restructuring Services,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deloitte South Africa (Financial Advisory):,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Derivco,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Digital Assets Tax (DAT):,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dirco Immigration Services,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dis-Chem Pharmacy,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Discovery Health,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Discovery Limited:,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Doc Assist,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doc Assist South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DocAssist South Africa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Document Assist,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Du Toit Tax Consulting,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dynamic Visual Technologies (DVT),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E-Merge Immigration:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EIS (Employer & Immigration Solutions):,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EIS (Executive Immigration Services):,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSafrica Tax,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSafrica Tax Department,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ETI Consulting,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EVS Immigration (Immigration.co.za),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EY (Ernst & Young) South Africa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EasiVisa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EasyVisa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EconoServe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edu Visa Services,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EduStart International,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Edublox,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eisenberg & Partners,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eisenman & Associates:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eisenstein & Associates:,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eisenstein & Partners:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Emigrate to South Africa,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Emigration South Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Engaged Business Turnaround,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Entelect,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ernest & Young (EY) South Africa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ernst & Young South Africa (EY),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Evalex,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Exceed CA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exchange4Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Expat Immigration Services South Africa (EISSA):,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Expat Tax & Financial Services:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Expat Tax Services South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Expat Tax Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Expatriate Tax Consultants,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Expatriate Tax Services,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Expert Tax Debt Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FNB Wealth and Investments:,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FedHealth,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FinSolve Debt Solutions,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Financial & Tax Services (FATS):,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Financial Emigration SA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Emigration South Africa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Finvision,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Finvision Debt Solutions,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Finvision Tax Services,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fluxmans:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fragomen Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Franchise & Business Immigration (FBI) Attorneys:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Future Budget Tax Services:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
G3 Visas & Passports,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GEMS (Government Employees Medical Scheme),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GTC (Grant Thornton Capital),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gerber & Co Chartered Accountants:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gerber & Co:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Global Business Solutions,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Global Citizen Solutions,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Global Education,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Global Tax Solutions,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Global Visa & Passport Services (GVPS):,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Globetrotter Visa Services,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glucode,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Go Volunteer Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Goldberg & de Villiers Inc,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grant Kaplan Immigration,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HDC Consulting:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HGG Attorneys:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HR & IR Solutions,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HR Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hanna Legal:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harrison & White:,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HealthBridge,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HealthConnect,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Healthcare Licensing Solutions,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hermann Immigration:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hermann Lawyers & Consultants:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hermann Lawyers:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hlatshwayo & Associates:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hlawula Attorneys:,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hlawula Immigration:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hogan Lovells South Africa,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Horgan Attorneys & Immigration Consultants:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Houghton Harper Immigration,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ICA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IE Abroad,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IPA Immigration:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ibhar Immigration Solutions:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ibiza Immigration:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ibn (International Business Nomads):,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ice3X,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigrant Assure,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Immigrating to South Africa:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration Advice South Africa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration Advisors South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration Advisors of South Africa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration Advisory Services,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration Company SA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration Compliance Services,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration Consultants of South Africa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration Corp,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Immigration Corporation Group,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration Lawyers SA:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Immigration Partners,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration Practice Group,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration South Africa (IBN Business & Immigration Solutions):,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Immigration South Africa (IBN Immigration Solutions):,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Immigration South Africa (ISA Consultants),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration South Africa (ISA) Global,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration South Africa (Intergate Visas & Immigration):,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigration South Africa (Malan & Mohale Attorneys Inc.):,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration South Africa (RMT Group):,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Immigration South Africa Group,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Immigration South Africa Online,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration South Africa Pro,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration South Africa Services,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immigration South Africa VFS,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Immigration and Visa Services (IVS):,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Immigroup South Africa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
InterGest South Africa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
InterNations GO!,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intergate Visas,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Investec Bank Limited:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Investec Bank South Africa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Judin Combrinck Inc,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jurgen's Immigration Services:,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KGRN Co.:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KIA Immigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KLM Immigration,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KPG:,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KPMG Restructuring,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KPMG South Africa (Restructuring Services):,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KPMG South Africa Immigration (,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KPMG Tax and Legal,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kelly,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly South Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kena Media:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kenaope Business Solutions:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kesh Group:,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Khonology,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Korn Ferry,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kreston S.A. (Kreston SA):,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LEMASA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lawtons Africa (Insolvency, Business Rescue & Restructuring):",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lawtons Africa:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Learn Abroad,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal Aid South Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legalese,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberty Life,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Licence Assist,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquidation Centre,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Liquidation Services,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Love Volunteers:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MAJ Consulting:,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MDA Immigration:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MDH Accountants,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MDH Accounting Services,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MDR Corporate Services,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MDR Tax Consultants,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MDS VisaPak,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MGI Bass Gordon,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MRA (Management Research Association),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mardale,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Marwick & Company,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mazars Recovery and Restructuring,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazars Tax Consulting,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MedCore Licensing,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MediSwitch,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicare Health,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Medipost Pharmacy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medirite Pharmacy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Medscheme,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mercantile Bank,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Merchantec Capital,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mercury FX,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Meredith Harington,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Meredith Harington Tax Specialists,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Migrate Immigration,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Migrate SA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Migrate With B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Migration Expert South Africa,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Migration Services (Pty) Ltd:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mindcor Business Solutions,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mindmuzik Media,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mindworx Assessment Centre,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Momentum Health,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Momentum Investments:,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Moore:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
