brand,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
[Tax & Advisory,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
[Tax & VAT,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
[Travel Visa,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
[Visa Express South,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
[Werksmans,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
iVisa,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
**CryptoTax SA**,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
**Deloitte**,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
**Discovery Life**,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
**FNB Wealth & Investments**,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
**Immigration South Africa (IBN Business & Immigration Solutions)**:,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
**Immigration South Africa (IBN Immigration Solutions):**,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
**KPMG South Africa**: home.kpmg/za/en/home.html,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
**Legal Aid South Africa**,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
**Legal Resources Centre**,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
**Standard Bank Wealth & Investment**,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
**Tax Compliance South Africa**,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
**Tax Risk Solutions**,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
**VISA HQ**,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Visa Experts**,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
**WorkPermits South Africa**,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
**Workpermit.com South Africa**,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
10X Investments:,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1Life,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1st Tax Solutions,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
21st Century:,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AG Immigration,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Accenture South Africa,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Adcorp,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
African Impact:,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Akeso Clinics:,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Apostil.co.za,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auditproof,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Avenant Attorneys,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
BIC,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Baker McKenzie,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Baker McKenzie South Africa,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Bishopsgate,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowman Gilfillan:,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Bowmans Law:,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Bowmans Tax Practice,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Brenthurst Wealth:,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CIBTvisas,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CIPC,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CRS Technologies,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cape Immigration,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Cape Town Immigration Consultants,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Capital Migrations,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Carrick Wealth,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Caveat Legal,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ChainEX,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Citadel,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Citadel Wealth Management:,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
CoinTracking,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Coronation Fund Managers,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Crypto Tax Consulting,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CryptoTaxCalculator (,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
De Beer Attorneys,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Discovery Bank,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Discovery Health,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
E-visa South Africa,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
EasyTax,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Emigrate to South Africa,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Engaged Business Turnaround,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Exfin:,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Expatriate Tax,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
FX Capital,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
FedHealth,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Finvision Tax Services,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Fragomen Africa,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Glacier by Sanlam,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Global Business Solutions,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Global Migration South Africa:,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Global Visa Services,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GoEco:,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Grant Kaplan Immigration,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
HJW Attorneys:,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Hlatswayo & Associates:,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Immigration Advisors,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Immigration Advisors of South Africa,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Immigration Advisory Services,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Immigration Direct,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Immigration Law South Africa,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Incompass Financial Solutions,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Incompass Forex,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Incompass Tax,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Investec Wealth & Investment:,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JvR Psychometrics,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KISCH IP:,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
KPMG South Africa Immigration Services (,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Lester & Associates,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MDA Attorneys,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MDA Immigration:,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MDS VisaPak,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Maitland,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Manpower South Africa,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazars Recovery and Restructuring,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
McKinsey & Company South Africa,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Medscheme,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mercantile Bank,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Migration South Africa,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Momentum Health,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
NMG Benefits,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
National Debt Advisors,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Nedgroup Investments,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Newtons:,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Nexus Tax Solutions,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
PKF Cape Town,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
PSG Konsult,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
PWC Business Recovery Services,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Passport & Visa Zone,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Passport People,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Probity Advisory,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Projects Abroad:,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Remata Gateway,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Remedio Tax,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Resolve Immigration,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SA Tax Debt,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
SA Tax Debt Relief,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
SA Visa Experts,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
SARS Consulting,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
SARS Debt Assist,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SARS Liaison,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SARS Tax Advisors,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SARS Tax Consultants,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
SARS Tax Practitioner,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SIA,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SIA Legal,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SPS International:,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SSA Consultants:,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
STBB,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SVA Tax,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SVA Tax Consultants,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Saffas Immigration:,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Saffery Champness,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Saffery Trust,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Sars Crypto Tax,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Sincere Immigration Services:,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Siverview Immigration,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Skills Portal:,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Skills Universe:,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
South African Immigration Consultants,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Sovereign Trust (SA) Limited,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standard Bank South Africa,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Status Solutions SA,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TLScontact South Africa,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Talent Solutions,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Tax Advisory,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Tax Debt SA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Migration South Africa,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Resolution Services,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
TaxAssist South Africa,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
TaxManSA,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
TaxRisk,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TaxTim South Africa,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
TaxWorx,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Tender Experts SA:,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Skills Academy:,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Travelstart,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
VALR,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
VFS Visa Services,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
VKTA Immigration,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Visa & Immigration Lawyers,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Visa & Immigration Solutions,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Visa & Permit SA:,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Visa Connect,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Visa Immigration,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visa Immigration SA,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Visa and Immigration Services (VISA),2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VisaAssist,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VisaConnect:,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VisaFirst,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VisaThru,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Visas & Permits,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Visas 4 South Africa,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Xero Tax,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
[BLS International South,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
[CryptoTax South,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
[DHL,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
[DLA Piper South,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
[DOH Corporate,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Debt Free South,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
[Debt Review,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
[Department of Home Affairs (South Africa)](,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[Digital Nomad,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
[Edward Nathan Sonnenbergs,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
[FedEx,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
[Fragomen South,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
[Henley &,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
[Hire,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
[Hogan Lovells South,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
[IBM South,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
[Immigration Consultants South,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
[Immigration Law,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
[Indeed South,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
[Infor South,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
[Investec Private,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
[Lawtons,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Lithgow,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
[Microsoft South,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
[National Debt,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
[Old,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
[Oracle South,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
[Relocate.me](,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
[Remote,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
[Remote Work,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[SAP South,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
[SARS,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
[Sage X3 South,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Sanlam Private,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
[Standard Bank Private,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
[Standard Bank Wealth &,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
[Tax & Accounting Services South,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
[Tax & Business,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
[Tax & Legal South,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
[Tiger,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
[UK Visa,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
[Visa Consultants South,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Visa Facilitation Services,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
[Visa Services South,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
**Absa Business Banking**,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
**Africa Immigration Services**,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
**BDO**,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
**BizPortal**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Black Sash**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Blockchain Legal**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**CIPC (Companies and Intellectual Property Commission)**,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
**Cape Town Child Psychology**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Centre for Applied Legal Studies (CALS)**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**Civic Services**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Compliance Partners:**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**Crisis Immigration**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**DLA Piper South Africa**,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
**Discovery Invest**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**EY South Africa (Ernst & Young)**,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
**EY**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Eltze & Partners**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**FNB Business**,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
**FinSolve Accounting & Tax Consultants**:,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Hogan Hilling**:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**Houghton Harper:**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**ILoveCapeTown**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**IMCOSA (Immigration Consultants South Africa):**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**ISI Immigrate South Africa:**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**IWV South Africa**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**Immigra:**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Immigration Assist**:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Immigration Experts South Africa**,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
**Immigration Lawyers South Africa (ILASA)**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Immigration Services South Africa (ISSA)**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**Immigration Solutions South Africa**,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
**Immigration.co.za (Immigration South Africa)**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**Internationals Visa Services**,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
**KPMG**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Kroon Tax Consulting**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**LWO (LabourWise Organisation):**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Labour Protect:**,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
**LabourMan:**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Le Roux Attorneys (Immigration South Africa):**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**LegalWise**,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
**Mindful Kids Educational Psychologists**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Nedbank Business Banking**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**Pathway to Canada**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Pathways Immigration Consultants**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Pro-Labour Consulting:**,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
**Psycho-Social Wellness Centre**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**PwC South Africa (Tax & Legal Services)**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**PwC**,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
**Refugee Rights Centre**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Relocate South Africa**:,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**SA Immigration (South African Immigration)**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**SA Visa Services:**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**SABRIC (South African Banking Risk Information Centre)**,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
**SNAX Consulting (Pty) Ltd**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Sable International (Immigration Division):**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Sable International (Immigration)**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Sanlam Wealth**,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
**Scorpion Legal Protection**,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
**Smit & Van Wyk Inc.**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**Standard Bank Business Banking**,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
**Standard Bank Fiduciary Services**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**Tax & Accounting Services**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Tax & Legal Advisory Services (TLAS)** â€“,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
**Tax & Legal Advisory Services**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Tax & Legal Consultants**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**Tax & Legal Services**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Tax & Legal Solutions**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Tax Compliance SA**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Tax Consulting / Debt Management / Business Rescue:**,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
**Tax Consulting Group**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**Tax Consulting Services**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Tax Practitioners Association (TPA)**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**Tax Shield**:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**The Legal Network**,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
**The Lighthouse Psychology Centre**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**The Mindcare Centre**,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
**Travel Visa 24:**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**VFS Helpline (South Africa)**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**VFS Services (South Africa)**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**VFS Visa Application Centre (South Africa)**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**Visa Experts South Africa**,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
**Visa and Immigration Solutions (VISA)**,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
**Visas 4 Africa**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**Visas South Africa**,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
**Workforce Immigration**,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1-Stop Tax,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1st For Women,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1st Move International,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1st Tax,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A S Attorneys:,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Workable Tax Solution,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Y & E Immigration Solutions,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A&A Immigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A&J Immigration,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A-Z Tax Consultants,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A. C. de Vries Inc.,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A. J. J. van der Merwe Incorporated,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A. J. van der Linde & Associates,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A. R. Z. Tax Consultants,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A.J. van der Watt Inc.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A.V. Immigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A1 Immigration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A2A,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A2Z Immigration,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A4E Tax Specialists,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AF Legal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
